State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races
California,Sacramento,2025,48,1.0,24.2,40.6,9.0,0.2,17.6,6.7
California,San Benito,2025,41,1.0,62.4,29.2,0.8,0.2,3.5,3.6
California,San Bernardino,2025,90,1.0,55.2,24.7,7.5,0.3,8.1,3.5
California,San Diego,2025,54,1.0,34.6,42.4,4.4,0.2,12.1,5.3
California,San Joaquin,2025,44,1.0,42.5,26.8,6.6,0.3,18.2,4.6
California,San Luis Obispo,2025,51,1.0,25.0,64.5,1.1,0.1,3.4,5.1
California,Santa Barbara,2025,54,1.0,48.2,40.6,1.5,0.2,5.2,3.7
California,Santa Cruz,2025,37,1.0,35.2,53.9,0.7,0.1,4.7,4.5
California,Shasta,2025,44,1.0,11.8,75.3,0.8,1.3,3.4,6.7
California,Siskiyou,2025,6,0.0833333333333333,13.5,73.3,1.3,2.7,1.8,6.5
California,Solano,2025,34,1.0,29.6,33.2,12.3,0.2,15.9,6.9
California,Sonoma,2025,9,1.0,30.0,57.9,1.5,0.3,4.3,5.0
California,Stanislaus,2025,45,1.0,50.0,36.3,2.6,0.3,5.9,4.0
California,Sutter,2025,48,1.0,32.9,40.7,1.6,0.7,17.5,5.1
California,Tehama,2025,36,1.0,29.1,61.4,0.8,1.2,1.7,4.7
California,Trinity,2025,33,0.8444444444444444,6.1,77.4,1.1,3.7,0.6,6.9
California,Tulare,2025,59,1.0,66.6,25.5,1.3,0.4,3.5,2.0
California,Tuolumne,2025,40,1.0,13.6,78.0,1.8,0.6,1.5,3.8
California,Ventura,2025,50,1.0,44.3,41.9,1.7,0.1,7.1,4.1
California,Yolo,2025,47,1.0,33.4,41.8,2.4,0.4,14.9,6.1
Colorado,Adams,2025,50,1.0,42.8,45.2,3.3,0.3,3.8,3.7
Colorado,Alamosa,2025,24,1.0,48.2,45.2,1.7,1.0,1.0,2.4
Colorado,Arapahoe,2025,51,1.0,21.7,55.2,10.5,0.3,6.0,5.5
Colorado,Archuleta,2025,32,1.0,16.6,77.4,0.0,1.2,0.7,3.7
Colorado,Boulder,2025,50,1.0,14.7,74.5,0.8,0.2,4.7,4.8
Colorado,Clear Creek,2025,48,1.0,7.8,85.8,0.1,0.7,1.8,3.0
Colorado,Delta,2025,28,0.65,14.5,79.8,0.7,0.2,0.5,3.1
Colorado,Denver,2025,54,1.0,28.0,54.0,8.6,0.3,3.6,4.8
Colorado,Douglas,2025,49,1.0,10.2,77.0,1.3,0.2,5.8,4.9
Colorado,El Paso,2025,49,1.0,18.7,65.6,5.5,0.2,2.8,6.4
Colorado,Fremont,2025,25,1.0,13.2,77.8,3.3,1.1,0.9,2.9
Colorado,Garfield,2025,44,1.0,32.6,61.5,0.6,0.2,0.8,3.4
Colorado,Gilpin,2025,48,1.0,7.4,84.8,2.6,1.1,1.1,3.0
Colorado,Gunnison,2025,49,1.0,10.0,84.1,0.4,0.3,0.5,3.8
Colorado,Jackson,2025,3,0.0944444444444444,10.5,86.6,1.3,0.4,0.0,1.2
Colorado,Jefferson,2025,51,1.0,16.1,75.2,1.1,0.2,2.9,4.0
Colorado,La Plata,2025,50,1.0,12.9,76.1,0.2,4.6,0.8,4.3
Colorado,Larimer,2025,54,1.0,12.9,79.2,1.0,0.2,2.2,3.8
Colorado,Mesa,2025,47,1.0,15.5,78.4,0.6,0.4,0.9,3.5
Colorado,Montezuma,2025,46,1.0,12.5,70.5,0.7,9.0,0.9,5.7
Colorado,Pitkin,2025,21,1.0,11.4,80.3,0.4,0.3,2.0,5.4
Colorado,Prowers,2025,24,1.0,40.5,55.0,1.0,0.0,0.3,3.0
Colorado,Pueblo,2025,48,1.0,42.1,51.0,1.9,0.4,0.8,3.2
Colorado,Routt,2025,23,1.0,9.0,80.1,0.2,0.3,0.6,9.0
Colorado,San Juan,2025,4,0.1111111111111111,18.2,76.2,0.0,1.0,0.0,4.6
Colorado,San Miguel,2025,21,1.0,11.7,84.0,1.0,0.1,0.6,2.5
Colorado,Weld,2025,52,1.0,31.0,62.0,1.3,0.3,1.6,3.2
Delaware,Kent,2025,44,1.0,8.1,56.5,26.4,0.3,2.5,5.6
Delaware,New Castle,2025,46,1.0,11.8,52.3,24.9,0.0,6.2,4.2
Delaware,Sussex,2025,43,1.0,11.5,72.3,9.8,0.2,1.3,4.4
Florida,Alachua,2025,37,1.0,12.6,57.6,19.0,0.1,6.0,4.1
Florida,Baker,2025,45,1.0,4.1,77.6,10.9,0.0,0.8,6.6
Florida,Bay,2025,46,1.0,9.2,72.7,9.8,0.2,2.0,5.6
Florida,Brevard,2025,37,1.0,12.2,70.2,9.4,0.1,2.4,4.8
Florida,Broward,2025,43,1.0,32.8,30.7,27.4,0.1,3.6,4.3
Florida,Citrus,2025,44,1.0,7.0,85.3,1.7,0.2,1.3,4.1
Florida,Collier,2025,43,1.0,28.2,61.4,6.4,0.1,1.5,2.0
Florida,Columbia,2025,48,1.0,7.9,70.3,16.1,0.1,1.0,3.9
Florida,Duval,2025,52,1.0,12.4,48.4,28.2,0.1,4.9,5.2
Florida,Escambia,2025,44,1.0,7.0,61.7,20.8,0.2,2.8,7.0
Florida,Flagler,2025,34,1.0,11.6,72.4,8.8,0.0,2.4,4.0
Florida,Hamilton,2025,49,1.0,11.5,54.5,30.4,0.5,0.6,2.5
Florida,Highlands,2025,34,1.0,22.2,63.1,9.3,0.2,1.5,3.1
Florida,Hillsborough,2025,51,1.0,30.4,44.8,15.3,0.1,4.5,4.1
Florida,Holmes,2025,48,1.0,3.7,84.2,5.8,0.4,0.6,4.9
Florida,Indian River,2025,36,1.0,13.9,72.5,7.7,0.2,1.5,3.5
Florida,Lake,2025,35,1.0,18.8,63.6,10.2,0.1,2.0,4.4
Florida,Lee,2025,42,1.0,24.7,62.0,7.6,0.1,1.7,3.2
Florida,Leon,2025,50,1.0,8.2,53.2,30.2,0.0,3.5,4.4
Florida,Liberty,2025,32,1.0,6.4,76.6,11.5,0.5,0.2,4.6
Florida,Manatee,2025,38,1.0,18.3,67.6,7.6,0.1,2.2,3.8
Florida,Marion,2025,46,1.0,17.0,65.5,11.6,0.1,1.7,3.4
Florida,Martin,2025,41,1.0,15.9,74.8,4.7,0.1,1.3,2.9
Florida,Miami-Dade,2025,49,1.0,69.3,12.6,14.1,0.1,1.5,1.9
Florida,Okaloosa,2025,37,1.0,11.3,69.3,9.1,0.1,3.2,6.3
Florida,Orange,2025,44,1.0,33.8,35.9,19.1,0.1,5.3,4.8
Florida,Osceola,2025,41,1.0,56.0,27.2,9.9,0.0,2.7,3.3
Florida,Palm Beach,2025,42,1.0,24.4,49.6,18.1,0.1,2.8,4.1
Florida,Pasco,2025,37,1.0,18.6,67.5,6.0,0.1,3.4,3.8
Florida,Pinellas,2025,44,1.0,11.2,71.0,9.4,0.1,3.6,4.0
Florida,Polk,2025,34,1.0,29.2,50.8,14.1,0.1,1.8,3.4
Florida,Putnam,2025,21,1.0,11.2,69.3,14.7,0.2,0.5,3.6
Florida,Santa Rosa,2025,45,1.0,6.9,78.4,5.5,0.1,1.9,6.3
Florida,Sarasota,2025,47,1.0,10.7,80.0,3.9,0.1,1.9,2.9
Florida,Seminole,2025,40,1.0,23.9,54.7,11.1,0.1,5.3,4.2
Florida,St. Lucie,2025,32,1.0,21.8,51.1,20.9,0.1,2.0,3.5
Florida,Volusia,2025,42,1.0,16.3,67.6,10.3,0.1,2.0,3.2
Florida,Wakulla,2025,43,1.0,4.9,76.7,13.7,0.3,0.4,3.5
Georgia,Bibb,2025,51,1.0,4.7,34.3,54.7,0.0,2.3,3.2
Georgia,Charlton,2025,24,0.1055555555555555,15.4,54.4,24.8,0.4,1.1,3.9
Georgia,Chatham,2025,44,1.0,8.3,45.3,38.4,0.1,3.0,3.9
Georgia,Clarke,2025,44,1.0,11.8,54.1,25.6,0.2,4.1,3.8
Georgia,Clayton,2025,49,0.45,14.5,7.8,68.5,0.1,4.9,3.3
Georgia,Cobb,2025,36,1.0,15.1,47.1,26.4,0.1,5.4,5.0
Georgia,Coffee,2025,44,1.0,13.5,55.6,28.0,0.1,0.7,1.6
Georgia,Dawson,2025,35,1.0,7.3,85.7,1.9,0.0,1.3,3.3
Georgia,DeKalb,2025,46,1.0,10.6,27.9,50.4,0.1,6.1,4.2
Georgia,Dougherty,2025,46,1.0,3.3,22.8,70.2,0.1,0.7,2.6
Georgia,Douglas,2025,40,0.5444444444444444,12.2,31.1,49.2,0.1,1.8,4.3
Georgia,Floyd,2025,38,1.0,12.4,68.8,13.6,0.0,1.5,3.4
Georgia,Fulton,2025,49,1.0,8.2,36.8,42.1,0.1,7.8,4.2
Georgia,Glynn,2025,39,1.0,7.8,61.8,24.1,0.1,1.3,4.7
Georgia,Gwinnett,2025,45,1.0,23.7,30.6,27.8,0.1,13.2,4.0
Georgia,Hall,2025,46,1.0,29.1,57.9,6.7,0.0,2.2,3.6
Georgia,Henry,2025,41,1.0,8.3,32.4,51.2,0.1,3.3,3.9
Georgia,Houston,2025,44,1.0,7.6,51.4,32.2,0.1,3.0,5.1
Georgia,Lowndes,2025,49,1.0,7.1,50.6,37.0,0.1,1.7,3.2
Georgia,Murray,2025,39,1.0,16.1,79.6,0.6,0.0,0.4,2.6
Georgia,Muscogee,2025,46,1.0,8.5,36.7,46.1,0.0,2.6,5.2
Georgia,Pike,2025,39,1.0,2.3,86.1,8.4,0.0,0.5,1.8
Georgia,Richmond,2025,49,1.0,5.8,31.4,55.7,0.1,1.6,4.7
Georgia,Rockdale,2025,36,1.0,10.9,24.0,57.5,0.0,1.6,5.3
Georgia,Walker,2025,46,1.0,2.9,89.3,3.0,0.3,0.4,4.1
Georgia,Washington,2025,47,1.0,2.2,41.7,53.1,0.0,0.5,2.3
Hawaii,Hawaii,2025,30,1.0,11.7,29.9,0.8,0.2,20.2,24.9
Hawaii,Honolulu,2025,31,1.0,9.4,17.2,2.2,0.1,41.6,20.1
Hawaii,Maui,2025,22,1.0,10.6,29.0,0.8,0.1,27.7,21.7
Idaho,Ada,2025,39,1.0,9.8,80.9,1.3,0.3,2.7,4.3
Idaho,Bannock,2025,31,1.0,9.9,80.3,0.8,2.1,1.5,4.1
Idaho,Benewah,2025,37,1.0,3.8,83.6,0.5,7.2,0.0,4.6
Idaho,Blaine,2025,22,0.9222222222222224,21.8,71.9,0.3,0.1,0.6,4.8
Idaho,Boise,2025,43,1.0,5.1,83.5,0.2,1.0,1.5,6.5
Idaho,Bonner,2025,41,1.0,4.0,89.0,0.3,0.4,0.5,4.7
Idaho,Bonneville,2025,19,0.9722222222222222,14.5,80.2,0.3,0.4,0.9,3.3
Idaho,Butte,2025,44,1.0,6.4,88.7,0.0,0.0,0.0,4.5
Idaho,Canyon,2025,30,0.9944444444444444,26.0,67.1,0.7,0.3,0.8,4.0
Idaho,Custer,2025,3,0.1111111111111111,4.5,88.4,0.3,0.4,3.1,3.0
Idaho,Franklin,2025,22,0.9277777777777778,7.4,89.4,0.1,0.1,0.1,2.4
Idaho,Idaho,2025,39,1.0,4.0,89.1,0.1,1.8,0.5,3.8
Idaho,Kootenai,2025,24,1.0,5.7,85.6,0.3,0.6,0.7,6.2
Idaho,Latah,2025,24,0.8611111111111112,5.2,84.5,1.0,0.5,2.1,6.1
Idaho,Lemhi,2025,23,1.0,3.9,91.5,0.1,0.4,0.0,3.5
Idaho,Nez Perce,2025,29,1.0,4.4,85.5,0.2,4.2,0.9,4.2
Idaho,Shoshone,2025,37,1.0,4.1,88.7,1.0,0.9,0.3,4.5
Idaho,Twin Falls,2025,24,1.0,18.0,75.3,0.8,0.3,1.1,3.7
Idaho,Valley,2025,32,0.9388888888888888,5.4,90.1,0.0,0.1,0.2,3.1
Illinois,Adams,2025,38,1.0,2.1,90.0,2.8,0.1,0.7,4.1
Illinois,Champaign,2025,44,1.0,8.3,62.4,13.4,0.1,11.4,4.1
Illinois,Clark,2025,36,1.0,1.9,95.0,0.5,0.0,0.1,2.5
Illinois,Cook,2025,53,1.0,26.8,40.1,21.8,0.1,7.9,3.0
Illinois,DuPage,2025,44,1.0,16.1,62.2,4.8,0.0,13.0,3.5
Illinois,Effingham,2025,35,1.0,2.8,94.2,0.3,0.0,0.8,1.6
Illinois,Hamilton,2025,43,1.0,0.7,94.7,0.2,0.2,0.5,3.2
Illinois,Jersey,2025,44,1.0,1.6,94.6,0.6,0.0,0.7,2.4
Illinois,Jo Daviess,2025,35,1.0,4.2,91.9,0.8,0.1,0.5,2.2
Illinois,Kane,2025,46,1.0,33.4,54.0,4.7,0.1,4.0,3.4
Illinois,Lake,2025,40,1.0,24.9,56.2,6.3,0.1,8.6,3.3
Illinois,Macon,2025,44,1.0,2.9,73.3,16.2,0.1,1.5,5.6
Illinois,Macoupin,2025,37,1.0,1.4,93.5,1.5,0.1,0.3,3.0
Illinois,Madison,2025,48,1.0,4.3,81.8,7.7,0.1,0.8,5.0
Illinois,McHenry,2025,43,1.0,16.1,76.1,1.4,0.0,3.0,3.2
Illinois,McLean,2025,44,1.0,6.4,76.2,8.4,0.1,5.2,3.3
Illinois,Peoria,2025,47,1.0,6.0,66.1,17.2,0.1,4.6,5.5
Illinois,Randolph,2025,44,1.0,3.8,85.1,8.2,0.1,0.6,1.9
Illinois,Rock Island,2025,41,1.0,14.2,67.4,10.9,0.1,2.6,4.4
Illinois,Sangamon,2025,42,1.0,2.9,77.3,12.5,0.1,2.3,4.3
Illinois,Will,2025,45,1.0,19.8,58.6,11.6,0.1,6.3,3.4
Illinois,Winnebago,2025,41,1.0,15.5,63.8,11.6,0.1,2.9,5.8
Indiana,Allen,2025,45,1.0,9.0,69.8,10.5,0.0,5.3,4.8
Indiana,Bartholomew,2025,44,1.0,9.2,77.7,1.8,0.1,7.4,3.4
Indiana,Boone,2025,38,1.0,4.3,86.2,3.0,0.0,3.6,2.8
Indiana,Brown,2025,37,1.0,1.9,94.2,0.3,0.4,0.6,2.3
Indiana,Carroll,2025,37,1.0,4.6,92.5,0.3,0.0,0.1,2.4
Indiana,Clark,2025,46,1.0,6.9,79.6,7.0,0.0,1.2,4.9
Indiana,Delaware,2025,44,1.0,3.3,84.3,5.2,0.1,1.6,5.0
Indiana,Dubois,2025,39,1.0,10.0,86.9,0.8,0.1,0.5,1.5
Indiana,Elkhart,2025,44,1.0,20.1,69.9,4.7,0.2,1.0,3.6
Indiana,Floyd,2025,46,1.0,4.3,85.3,4.8,0.0,1.2,4.1
Indiana,Greene,2025,41,1.0,2.1,95.2,0.5,0.0,0.2,1.8
Indiana,Hamilton,2025,47,1.0,5.6,78.6,4.4,0.0,6.9,3.8
Indiana,Hendricks,2025,38,1.0,5.2,77.3,10.0,0.1,3.3,3.7
Indiana,Henry,2025,38,1.0,2.3,92.1,2.2,0.1,0.5,2.6
Indiana,Howard,2025,46,1.0,4.1,82.6,7.3,0.0,1.4,4.2
Indiana,Knox,2025,38,1.0,3.0,89.4,1.7,0.0,0.9,4.8
Indiana,LaPorte,2025,44,1.0,7.6,76.0,10.3,0.1,0.6,4.9
Indiana,Lake,2025,53,1.0,20.9,51.4,22.7,0.1,1.6,2.9
Indiana,Madison,2025,42,1.0,5.4,82.0,6.1,0.1,0.7,5.4
Indiana,Marion,2025,53,1.0,13.8,49.5,27.1,0.1,4.0,4.9
Indiana,Monroe,2025,36,1.0,4.8,80.7,3.5,0.0,6.8,3.9
Indiana,Perry,2025,38,1.0,1.6,92.5,2.1,0.1,0.6,2.9
Indiana,Porter,2025,44,1.0,11.7,79.1,4.3,0.0,1.4,3.1
Indiana,Posey,2025,39,1.0,1.5,93.2,0.7,0.1,0.3,2.9
Indiana,Shelby,2025,37,1.0,5.6,89.8,1.4,0.0,1.0,2.1
Indiana,Spencer,2025,42,1.0,3.6,93.2,0.6,0.0,0.2,2.0
Indiana,St. Joseph,2025,44,1.0,10.5,68.9,12.3,0.1,2.7,4.9
Indiana,Tippecanoe,2025,39,1.0,10.3,71.6,6.2,0.1,8.0,3.3
Indiana,Vanderburgh,2025,44,1.0,3.8,80.3,8.4,0.1,1.4,5.1
Indiana,Vigo,2025,45,1.0,3.2,84.0,5.8,0.1,2.1,4.4
Indiana,Wabash,2025,37,1.0,3.2,92.2,0.9,0.1,0.4,2.9
Indiana,Warrick,2025,40,1.0,2.5,89.5,1.7,0.1,1.7,3.8
Indiana,Whitley,2025,38,1.0,2.8,91.9,0.2,0.1,0.3,3.9
Iowa,Black Hawk,2025,48,1.0,5.2,78.1,9.1,0.1,2.7,3.9
Iowa,Bremer,2025,38,1.0,2.1,92.3,1.1,0.0,0.9,2.6
Iowa,Clinton,2025,45,1.0,3.6,89.0,3.1,0.1,0.7,3.4
Iowa,Harrison,2025,39,1.0,2.2,94.4,0.1,0.0,0.3,2.7
Iowa,Johnson,2025,36,1.0,6.7,74.8,7.6,0.1,5.6,4.6
Iowa,Linn,2025,44,1.0,4.1,82.4,5.9,0.1,2.4,4.7
Iowa,Montgomery,2025,43,1.0,0.8,92.0,1.8,0.1,1.1,3.2
Iowa,Muscatine,2025,41,1.0,18.8,75.0,2.2,0.1,0.6,3.1
Iowa,Palo Alto,2025,42,1.0,3.5,91.3,1.6,0.1,0.6,2.8
Iowa,Polk,2025,46,1.0,10.4,73.2,7.3,0.1,4.9,3.8
Iowa,Pottawattamie,2025,41,0.5,9.1,84.5,1.8,0.2,0.9,3.0
Iowa,Scott,2025,45,1.0,7.4,77.0,7.1,0.1,2.8,5.1
Iowa,Van Buren,2025,46,1.0,1.8,94.4,0.4,0.1,0.0,2.4
Iowa,Webster,2025,48,0.6833333333333333,6.6,83.9,3.3,0.1,1.2,4.7
Iowa,Woodbury,2025,39,1.0,19.1,67.1,4.9,1.3,2.3,4.3
Kansas,Chase,2025,22,0.1,8.4,86.3,1.1,0.2,0.5,3.5
Kansas,Douglas,2025,41,0.9,7.2,76.0,4.2,1.0,4.3,6.8
Kansas,Ford,2025,26,1.0,59.1,35.4,2.4,0.0,0.9,1.8
Kansas,Johnson,2025,43,1.0,9.3,76.1,4.8,0.1,5.2,4.0
Kansas,Leavenworth,2025,36,1.0,7.6,77.4,6.8,0.3,1.3,5.9
Kansas,Neosho,2025,43,1.0,6.0,88.0,1.5,0.1,0.5,3.7
Kansas,Sedgwick,2025,48,1.0,16.5,64.9,7.6,0.4,4.2,5.8
Kansas,Shawnee,2025,44,1.0,13.8,71.0,6.6,0.4,1.3,6.3
Kansas,Sherman,2025,25,0.8277777777777777,13.0,82.8,1.8,0.0,0.1,2.3
Kansas,Sumner,2025,43,1.0,6.1,86.5,1.1,0.5,0.4,4.7
Kansas,Trego,2025,41,1.0,1.1,95.2,0.0,0.5,0.7,1.6
Kansas,Wyandotte,2025,44,0.9333333333333332,34.1,36.4,18.1,0.3,5.2,5.1
Kentucky,Bell,2025,43,1.0,0.5,92.6,3.0,0.1,0.3,3.2
Kentucky,Boone,2025,38,0.6777777777777778,5.9,82.3,4.4,0.0,2.4,4.2
Kentucky,Boyd,2025,39,1.0,1.8,92.2,2.3,0.1,0.4,3.2
Kentucky,Bullitt,2025,39,0.6111111111111112,3.3,90.8,1.3,0.0,0.7,3.5
Kentucky,Campbell,2025,39,1.0,2.6,90.3,2.8,0.0,0.9,2.9
Kentucky,Carter,2025,36,1.0,0.9,95.2,0.3,0.0,0.3,3.3
Kentucky,Christian,2025,41,1.0,8.7,63.8,18.3,0.1,1.2,7.0
Kentucky,Daviess,2025,42,1.0,4.3,84.9,4.0,0.1,2.1,3.8
Kentucky,Edmonson,2025,38,1.0,1.7,91.6,0.7,0.1,0.6,4.4
Kentucky,Fayette,2025,40,1.0,9.5,66.7,14.4,0.0,4.3,4.7
Kentucky,Greenup,2025,37,0.6777777777777778,1.2,94.8,0.7,0.1,0.6,2.6
Kentucky,Hancock,2025,44,0.6777777777777778,0.8,94.1,1.3,0.0,0.1,2.9
Kentucky,Hardin,2025,44,0.7055555555555556,6.5,74.4,10.7,0.2,2.2,5.7
Kentucky,Jefferson,2025,48,1.0,8.6,62.0,20.6,0.1,3.1,5.2
Kentucky,Jessamine,2025,41,0.9944444444444444,5.0,85.5,4.0,0.0,1.8,3.2
Kentucky,Livingston,2025,40,0.5888888888888889,2.5,94.1,0.1,0.1,0.1,3.1
Kentucky,McCracken,2025,39,1.0,3.4,81.1,9.7,0.1,0.9,4.2
Kentucky,Morgan,2025,35,1.0,3.6,89.2,5.0,0.0,0.5,1.7
Kentucky,Oldham,2025,39,0.6777777777777778,5.0,85.6,2.9,0.1,1.6,4.1
Kentucky,Perry,2025,38,1.0,0.2,93.7,1.7,0.1,0.6,3.3
Kentucky,Pike,2025,36,1.0,1.3,93.9,0.6,0.0,0.6,3.6
Kentucky,Pulaski,2025,41,1.0,3.1,92.3,0.8,0.1,0.8,2.8
Kentucky,Simpson,2025,39,0.6722222222222223,3.6,83.9,6.9,0.1,0.2,5.3
Kentucky,Warren,2025,37,1.0,7.1,73.8,9.1,0.1,5.0,4.2
Kentucky,Washington,2025,38,1.0,0.2,87.4,4.6,0.0,0.6,7.2
Louisiana,Ascension,2025,33,1.0,8.4,63.5,22.8,0.2,1.0,3.6
Louisiana,Bossier,2025,40,1.0,8.3,61.6,23.5,0.1,1.6,4.3
Louisiana,Caddo,2025,38,1.0,3.8,42.1,48.7,0.2,1.2,3.6
Louisiana,Calcasieu,2025,47,1.0,5.4,64.7,23.3,0.1,1.5,4.3
