State,County,Year,median_aqi,sample_weight
Florida,Sarasota,2025,47,1.0
Florida,Seminole,2025,40,1.0
Florida,St. Lucie,2025,32,1.0
Florida,Volusia,2025,42,1.0
Florida,Wakulla,2025,43,1.0
Georgia,Bibb,2025,51,1.0
Georgia,Charlton,2025,24,0.10555555555555556
Georgia,Chatham,2025,44,1.0
Georgia,Clarke,2025,44,1.0
Georgia,Clayton,2025,49,0.45
Georgia,Cobb,2025,36,1.0
Georgia,Coffee,2025,44,1.0
Georgia,Dawson,2025,35,1.0
Georgia,DeKalb,2025,46,1.0
Georgia,Dougherty,2025,46,1.0
Georgia,Douglas,2025,40,0.5444444444444444
Georgia,Floyd,2025,38,1.0
Georgia,Fulton,2025,49,1.0
Georgia,Glynn,2025,39,1.0
Georgia,Gwinnett,2025,45,1.0
Georgia,Hall,2025,46,1.0
Georgia,Henry,2025,41,1.0
Georgia,Houston,2025,44,1.0
Georgia,Lowndes,2025,49,1.0
Georgia,Murray,2025,39,1.0
Georgia,Muscogee,2025,46,1.0
Georgia,Pike,2025,39,1.0
Georgia,Richmond,2025,49,1.0
Georgia,Rockdale,2025,36,1.0
Georgia,Walker,2025,46,1.0
Georgia,Washington,2025,47,1.0
Hawaii,Hawaii,2025,30,1.0
Hawaii,Honolulu,2025,31,1.0
Hawaii,Maui,2025,22,1.0
Idaho,Ada,2025,39,1.0
Idaho,Bannock,2025,31,1.0
Idaho,Benewah,2025,37,1.0
Idaho,Blaine,2025,22,0.9222222222222223
Idaho,Boise,2025,43,1.0
Idaho,Bonner,2025,41,1.0
Idaho,Bonneville,2025,19,0.9722222222222222
Idaho,Butte,2025,44,1.0
Idaho,Canyon,2025,30,0.9944444444444445
Idaho,Custer,2025,3,0.1111111111111111
Idaho,Franklin,2025,22,0.9277777777777778
Idaho,Idaho,2025,39,1.0
Idaho,Kootenai,2025,24,1.0
Idaho,Latah,2025,24,0.8611111111111112
Idaho,Lemhi,2025,23,1.0
Idaho,Nez Perce,2025,29,1.0
Idaho,Shoshone,2025,37,1.0
