GEO_ID,County_Area,Total_Population
0500000US05049,"Fulton County, Arkansas",12302
0500000US05051,"Garland County, Arkansas",100035
0500000US05053,"Grant County, Arkansas",18242
0500000US05055,"Greene County, Arkansas",46432
0500000US05057,"Hempstead County, Arkansas",19508
0500000US05059,"Hot Spring County, Arkansas",33180
0500000US05061,"Howard County, Arkansas",12583
0500000US05063,"Independence County, Arkansas",38175
0500000US05065,"Izard County, Arkansas",14009
0500000US05067,"Jackson County, Arkansas",16712
0500000US05069,"Jefferson County, Arkansas",64802
0500000US05071,"Johnson County, Arkansas",26003
0500000US05073,"Lafayette County, Arkansas",6136
0500000US05075,"Lawrence County, Arkansas",16238
0500000US05077,"Lee County, Arkansas",8359
0500000US05079,"Lincoln County, Arkansas",12950
0500000US05081,"Little River County, Arkansas",11821
0500000US05083,"Logan County, Arkansas",21277
0500000US05085,"Lonoke County, Arkansas",75272
0500000US05087,"Madison County, Arkansas",17329
0500000US05089,"Marion County, Arkansas",17228
0500000US05091,"Miller County, Arkansas",42360
0500000US05093,"Mississippi County, Arkansas",39126
0500000US05095,"Monroe County, Arkansas",6589
0500000US05097,"Montgomery County, Arkansas",8553
0500000US05099,"Nevada County, Arkansas",8159
0500000US05101,"Newton County, Arkansas",7112
0500000US05103,"Ouachita County, Arkansas",22085
0500000US05105,"Perry County, Arkansas",10101
0500000US05107,"Phillips County, Arkansas",15450
0500000US05109,"Pike County, Arkansas",10115
0500000US05111,"Poinsett County, Arkansas",22543
0500000US05113,"Polk County, Arkansas",19361
0500000US05115,"Pope County, Arkansas",64131
0500000US05117,"Prairie County, Arkansas",8064
0500000US05119,"Pulaski County, Arkansas",399818
0500000US05121,"Randolph County, Arkansas",18838
0500000US05123,"St. Francis County, Arkansas",22400
0500000US05125,"Saline County, Arkansas",127479
0500000US05127,"Scott County, Arkansas",9816
0500000US05129,"Searcy County, Arkansas",7859
0500000US05131,"Sebastian County, Arkansas",128900
0500000US05133,"Sevier County, Arkansas",15712
0500000US05135,"Sharp County, Arkansas",17773
0500000US05137,"Stone County, Arkansas",12568
0500000US05139,"Union County, Arkansas",37900
0500000US05141,"Van Buren County, Arkansas",15998
0500000US05143,"Washington County, Arkansas",256765
0500000US05145,"White County, Arkansas",77838
0500000US05147,"Woodruff County, Arkansas",6026
0500000US05149,"Yell County, Arkansas",20134
0500000US06001,"Alameda County, California",1649473
0500000US06003,"Alpine County, California",1616
0500000US06005,"Amador County, California",41428
0500000US06007,"Butte County, California",207929
0500000US06009,"Calaveras County, California",46248
0500000US06011,"Colusa County, California",21984
0500000US06013,"Contra Costa County, California",1165012
0500000US06015,"Del Norte County, California",27107
0500000US06017,"El Dorado County, California",192662
0500000US06019,"Fresno County, California",1016725
0500000US06021,"Glenn County, California",28494
0500000US06023,"Humboldt County, California",134541
0500000US06025,"Imperial County, California",180202
0500000US06027,"Inyo County, California",18739
0500000US06029,"Kern County, California",915075
0500000US06031,"Kings County, California",153298
0500000US06033,"Lake County, California",68152
