State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income
Florida,Polk,2025,34,1.0,29.2,50.8,14.1,0.1,1.8,3.4,65978.0
Florida,Putnam,2025,21,1.0,11.2,69.3,14.7,0.2,0.5,3.6,47934.0
Florida,Santa Rosa,2025,45,1.0,6.9,78.4,5.5,0.1,1.9,6.3,91922.0
Florida,Sarasota,2025,47,1.0,10.7,80.0,3.9,0.1,1.9,2.9,83416.0
Florida,Seminole,2025,40,1.0,23.9,54.7,11.1,0.1,5.3,4.2,85761.0
Florida,St. Lucie,2025,32,1.0,21.8,51.1,20.9,0.1,2.0,3.5,71457.0
Florida,Volusia,2025,42,1.0,16.3,67.6,10.3,0.1,2.0,3.2,70044.0
Florida,Wakulla,2025,43,1.0,4.9,76.7,13.7,0.3,0.4,3.5,81895.0
Georgia,Bibb,2025,51,1.0,4.7,34.3,54.7,0.0,2.3,3.2,51234.0
Georgia,Charlton,2025,24,0.1055555555555555,15.4,54.4,24.8,0.4,1.1,3.9,61276.0
Georgia,Chatham,2025,44,1.0,8.3,45.3,38.4,0.1,3.0,3.9,71097.0
Georgia,Clarke,2025,44,1.0,11.8,54.1,25.6,0.2,4.1,3.8,53625.0
Georgia,Clayton,2025,49,0.45,14.5,7.8,68.5,0.1,4.9,3.3,59806.0
Georgia,Cobb,2025,36,1.0,15.1,47.1,26.4,0.1,5.4,5.0,102738.0
Georgia,Coffee,2025,44,1.0,13.5,55.6,28.0,0.1,0.7,1.6,50683.0
Georgia,Dawson,2025,35,1.0,7.3,85.7,1.9,0.0,1.3,3.3,92991.0
Georgia,DeKalb,2025,46,1.0,10.6,27.9,50.4,0.1,6.1,4.2,80644.0
Georgia,Dougherty,2025,46,1.0,3.3,22.8,70.2,0.1,0.7,2.6,49044.0
Georgia,Douglas,2025,40,0.5444444444444444,12.2,31.1,49.2,0.1,1.8,4.3,82984.0
Georgia,Floyd,2025,38,1.0,12.4,68.8,13.6,0.0,1.5,3.4,65565.0
Georgia,Fulton,2025,49,1.0,8.2,36.8,42.1,0.1,7.8,4.2,95292.0
Georgia,Glynn,2025,39,1.0,7.8,61.8,24.1,0.1,1.3,4.7,69799.0
Georgia,Gwinnett,2025,45,1.0,23.7,30.6,27.8,0.1,13.2,4.0,87890.0
Georgia,Hall,2025,46,1.0,29.1,57.9,6.7,0.0,2.2,3.6,80901.0
Georgia,Henry,2025,41,1.0,8.3,32.4,51.2,0.1,3.3,3.9,83146.0
Georgia,Houston,2025,44,1.0,7.6,51.4,32.2,0.1,3.0,5.1,80698.0
Georgia,Lowndes,2025,49,1.0,7.1,50.6,37.0,0.1,1.7,3.2,58541.0
Georgia,Murray,2025,39,1.0,16.1,79.6,0.6,0.0,0.4,2.6,69253.0
Georgia,Muscogee,2025,46,1.0,8.5,36.7,46.1,0.0,2.6,5.2,58073.0
Georgia,Pike,2025,39,1.0,2.3,86.1,8.4,0.0,0.5,1.8,86719.0
