State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income
Kansas,Ford,2025,26,1.0,59.1,35.4,2.4,0.0,0.9,1.8,70781.0
Kansas,Johnson,2025,43,1.0,9.3,76.1,4.8,0.1,5.2,4.0,109208.0
Kansas,Leavenworth,2025,36,1.0,7.6,77.4,6.8,0.3,1.3,5.9,89218.0
Kansas,Neosho,2025,43,1.0,6.0,88.0,1.5,0.1,0.5,3.7,56618.0
Kansas,Sedgwick,2025,48,1.0,16.5,64.9,7.6,0.4,4.2,5.8,69365.0
Kansas,Shawnee,2025,44,1.0,13.8,71.0,6.6,0.4,1.3,6.3,67104.0
Kansas,Sherman,2025,25,0.8277777777777777,13.0,82.8,1.8,0.0,0.1,2.3,61750.0
Kansas,Sumner,2025,43,1.0,6.1,86.5,1.1,0.5,0.4,4.7,63951.0
Kansas,Trego,2025,41,1.0,1.1,95.2,0.0,0.5,0.7,1.6,81528.0
Kansas,Wyandotte,2025,44,0.9333333333333332,34.1,36.4,18.1,0.3,5.2,5.1,63631.0
Kentucky,Bell,2025,43,1.0,0.5,92.6,3.0,0.1,0.3,3.2,31354.0
Kentucky,Boone,2025,38,0.6777777777777778,5.9,82.3,4.4,0.0,2.4,4.2,99414.0
Kentucky,Boyd,2025,39,1.0,1.8,92.2,2.3,0.1,0.4,3.2,61118.0
Kentucky,Bullitt,2025,39,0.6111111111111112,3.3,90.8,1.3,0.0,0.7,3.5,80558.0
Kentucky,Campbell,2025,39,1.0,2.6,90.3,2.8,0.0,0.9,2.9,77567.0
Kentucky,Carter,2025,36,1.0,0.9,95.2,0.3,0.0,0.3,3.3,51235.0
Kentucky,Christian,2025,41,1.0,8.7,63.8,18.3,0.1,1.2,7.0,55494.0
Kentucky,Daviess,2025,42,1.0,4.3,84.9,4.0,0.1,2.1,3.8,68214.0
Kentucky,Edmonson,2025,38,1.0,1.7,91.6,0.7,0.1,0.6,4.4,54937.0
Kentucky,Fayette,2025,40,1.0,9.5,66.7,14.4,0.0,4.3,4.7,69479.0
Kentucky,Greenup,2025,37,0.6777777777777778,1.2,94.8,0.7,0.1,0.6,2.6,60751.0
Kentucky,Hancock,2025,44,0.6777777777777778,0.8,94.1,1.3,0.0,0.1,2.9,65464.0
Kentucky,Hardin,2025,44,0.7055555555555556,6.5,74.4,10.7,0.2,2.2,5.7,67647.0
Kentucky,Jefferson,2025,48,1.0,8.6,62.0,20.6,0.1,3.1,5.2,69866.0
Kentucky,Jessamine,2025,41,0.9944444444444444,5.0,85.5,4.0,0.0,1.8,3.2,74576.0
Kentucky,Livingston,2025,40,0.5888888888888889,2.5,94.1,0.1,0.1,0.1,3.1,58984.0
Kentucky,McCracken,2025,39,1.0,3.4,81.1,9.7,0.1,0.9,4.2,64373.0
Kentucky,Morgan,2025,35,1.0,3.6,89.2,5.0,0.0,0.5,1.7,47913.0
Kentucky,Oldham,2025,39,0.6777777777777778,5.0,85.6,2.9,0.1,1.6,4.1,122497.0
Kentucky,Perry,2025,38,1.0,0.2,93.7,1.7,0.1,0.6,3.3,42181.0
Kentucky,Pike,2025,36,1.0,1.3,93.9,0.6,0.0,0.6,3.6,44312.0
Kentucky,Pulaski,2025,41,1.0,3.1,92.3,0.8,0.1,0.8,2.8,51898.0
Kentucky,Simpson,2025,39,0.6722222222222223,3.6,83.9,6.9,0.1,0.2,5.3,59858.0
Kentucky,Warren,2025,37,1.0,7.1,73.8,9.1,0.1,5.0,4.2,65794.0
Kentucky,Washington,2025,38,1.0,0.2,87.4,4.6,0.0,0.6,7.2,61616.0
Louisiana,Ascension,2025,33,1.0,8.4,63.5,22.8,0.2,1.0,3.6,91549.0
Louisiana,Bossier,2025,40,1.0,8.3,61.6,23.5,0.1,1.6,4.3,69617.0
Louisiana,Caddo,2025,38,1.0,3.8,42.1,48.7,0.2,1.2,3.6,50705.0
Louisiana,Calcasieu,2025,47,1.0,5.4,64.7,23.3,0.1,1.5,4.3,67564.0
Louisiana,East Baton Rouge,2025,51,1.0,6.9,41.6,43.6,0.1,3.3,4.0,63071.0
Louisiana,Iberville,2025,41,1.0,5.2,46.0,43.2,0.2,0.0,4.6,54000.0
Louisiana,Jefferson,2025,48,1.0,18.9,47.2,25.1,0.1,4.2,3.7,65252.0
Louisiana,Lafayette,2025,47,1.0,6.7,61.7,25.4,0.1,1.9,3.6,67451.0
Louisiana,Lafourche,2025,46,1.0,5.9,74.2,12.8,2.3,0.6,4.0,63135.0
Louisiana,Livingston,2025,45,1.0,6.6,80.2,8.9,0.1,0.7,3.0,80122.0
Louisiana,Orleans,2025,44,1.0,8.2,30.1,53.9,0.1,2.8,4.0,56631.0
Louisiana,Ouachita,2025,46,1.0,3.7,55.3,37.2,0.1,1.1,2.3,54688.0
Louisiana,Pointe Coupee,2025,35,1.0,3.5,59.7,32.6,0.4,0.1,3.6,65961.0
Louisiana,Rapides,2025,35,0.3166666666666666,4.2,59.4,30.7,0.4,1.1,3.7,54967.0
Louisiana,St. Bernard,2025,45,1.0,13.9,55.5,23.6,0.7,1.9,4.2,58651.0
Louisiana,St. James,2025,34,1.0,2.0,49.3,47.4,0.1,0.0,1.1,65531.0
Louisiana,St. John the Baptist,2025,35,1.0,8.9,29.5,56.8,0.1,0.9,3.3,66630.0
Louisiana,St. Martin,2025,36,1.0,3.6,63.1,28.6,0.2,0.8,3.3,55960.0
Louisiana,St. Tammany,2025,38,1.0,8.2,72.4,12.0,0.2,1.3,4.6,81202.0
Louisiana,Tangipahoa,2025,38,0.3444444444444444,5.8,60.5,29.2,0.1,0.8,3.3,56760.0
Louisiana,Terrebonne,2025,39,0.3388888888888889,7.2,63.8,18.3,4.5,1.1,4.8,64836.0
Louisiana,West Baton Rouge,2025,50,1.0,4.6,52.2,40.8,0.0,0.5,1.7,87299.0
Maine,Androscoggin,2025,35,1.0,2.2,87.2,5.5,0.0,1.2,3.6,67873.0
Maine,Aroostook,2025,36,1.0,1.7,92.5,0.7,1.1,0.3,3.3,56700.0
Maine,Cumberland,2025,39,1.0,2.8,85.6,3.4,0.1,2.2,5.5,95677.0
Maine,Hancock,2025,37,1.0,1.9,92.6,1.0,0.4,1.0,2.8,72744.0
Maine,Kennebec,2025,36,1.0,2.3,91.8,0.9,0.2,0.9,3.7,69077.0
Maine,Knox,2025,34,1.0,1.9,93.2,0.3,0.1,0.5,3.8,74096.0
Maine,Oxford,2025,39,1.0,1.7,92.2,0.3,0.2,0.7,4.5,60173.0
Maine,Penobscot,2025,34,1.0,2.1,91.1,1.1,0.7,1.1,3.4,66356.0
Maine,Sagadahoc,2025,35,1.0,2.0,92.0,0.5,0.0,0.7,4.4,87806.0
Maine,Washington,2025,36,1.0,2.5,87.6,0.7,4.4,0.3,4.1,56024.0
Maine,York,2025,36,1.0,2.2,90.1,1.1,0.1,1.1,4.9,88333.0
Maryland,Anne Arundel,2025,40,1.0,10.5,61.7,17.6,0.1,4.2,5.4,124911.0
Maryland,Baltimore,2025,44,1.0,7.8,51.1,30.1,0.1,6.1,4.1,91768.0
Maryland,Calvert,2025,38,1.0,5.2,73.6,11.9,0.1,1.9,6.6,133922.0
Maryland,Carroll,2025,38,1.0,5.1,84.5,4.0,0.1,2.4,3.2,118211.0
Maryland,Cecil,2025,41,1.0,5.6,80.4,7.1,0.1,1.2,5.0,92007.0
Maryland,Charles,2025,38,1.0,7.9,32.0,48.4,0.2,3.3,7.4,122816.0
Maryland,Dorchester,2025,40,1.0,6.1,60.7,24.8,0.0,1.2,6.4,61839.0
Maryland,Frederick,2025,41,1.0,12.9,65.7,10.1,0.1,5.9,5.0,122002.0
Maryland,Garrett,2025,41,1.0,1.4,94.7,0.6,0.2,0.5,2.0,67688.0
Maryland,Harford,2025,43,1.0,5.8,71.6,14.1,0.1,3.0,4.7,112265.0
Maryland,Howard,2025,36,1.0,8.7,45.9,19.7,0.1,19.2,5.7,149763.0
Maryland,Kent,2025,40,1.0,5.8,75.9,14.0,0.0,1.3,2.7,80147.0
Maryland,Montgomery,2025,41,1.0,21.0,39.5,18.3,0.1,15.3,4.8,132450.0
Maryland,Prince George's,2025,41,1.0,22.5,10.8,58.2,0.1,3.9,3.8,101798.0
Maryland,Washington,2025,42,1.0,7.9,73.3,11.5,0.1,1.6,5.3,77747.0
Massachusetts,Barnstable,2025,38,1.0,3.7,85.2,2.8,0.3,1.5,5.2,95241.0
Massachusetts,Berkshire,2025,41,1.0,5.9,84.8,2.6,0.1,1.9,4.3,76013.0
Massachusetts,Bristol,2025,41,1.0,10.2,75.3,4.0,0.1,2.4,6.2,85625.0
Massachusetts,Dukes,2025,37,1.0,3.3,80.0,2.7,1.0,1.5,8.6,125786.0
Massachusetts,Essex,2025,42,1.0,24.1,64.5,3.5,0.0,3.5,3.5,101883.0
Massachusetts,Franklin,2025,40,1.0,5.4,87.5,1.3,0.0,2.0,3.2,74907.0
Massachusetts,Hampden,2025,41,1.0,27.0,59.3,7.6,0.0,2.5,3.1,71306.0
Massachusetts,Hampshire,2025,39,1.0,7.4,80.3,2.5,0.1,5.3,4.1,87001.0
Massachusetts,Middlesex,2025,41,1.0,9.3,65.1,4.7,0.1,13.6,5.8,130847.0
Massachusetts,Norfolk,2025,43,1.0,5.8,68.7,7.1,0.1,12.4,4.8,130739.0
Massachusetts,Plymouth,2025,40,1.0,4.9,76.1,7.8,0.1,1.7,6.8,114201.0
Massachusetts,Suffolk,2025,39,1.0,23.2,43.6,17.1,0.1,9.2,5.6,95631.0
Massachusetts,Worcester,2025,42,1.0,13.7,70.3,4.8,0.1,5.3,4.7,95939.0
Michigan,Allegan,2025,43,1.0,8.1,84.6,1.2,0.2,0.7,4.7,83283.0
Michigan,Bay,2025,38,1.0,5.9,88.2,1.0,0.1,0.5,3.7,61763.0
Michigan,Benzie,2025,35,1.0,2.5,91.4,0.6,0.9,0.5,3.2,74834.0
Michigan,Berrien,2025,41,1.0,6.3,72.7,13.1,0.2,1.8,5.2,65425.0
Michigan,Cass,2025,40,1.0,4.5,84.0,4.0,0.7,0.8,5.2,70443.0
Michigan,Clinton,2025,39,1.0,5.2,87.3,1.8,0.2,1.5,3.4,88210.0
Michigan,Genesee,2025,38,1.0,4.3,70.0,19.1,0.2,1.1,4.8,62281.0
Michigan,Huron,2025,38,1.0,2.8,93.3,0.3,0.2,0.6,2.3,58870.0
Michigan,Ingham,2025,37,1.0,8.7,66.6,11.0,0.2,6.2,6.4,65526.0
Michigan,Kalamazoo,2025,40,1.0,5.9,74.6,10.8,0.1,2.8,5.4,72532.0
Michigan,Kent,2025,46,1.0,11.7,70.4,9.4,0.2,3.2,4.6,82631.0
Michigan,Keweenaw,2025,7,0.1055555555555555,2.0,92.7,0.0,0.1,0.0,3.2,52583.0
Michigan,Lenawee,2025,41,1.0,8.9,84.8,2.3,0.1,0.3,3.3,70518.0
Michigan,Macomb,2025,41,1.0,3.2,74.1,12.7,0.1,5.1,4.4,77837.0
Michigan,Manistee,2025,34,1.0,3.6,87.4,3.2,1.2,0.4,4.0,63516.0
Michigan,Marquette,2025,18,0.6833333333333333,2.1,90.7,1.3,0.9,0.5,4.2,65429.0
Michigan,Mason,2025,36,1.0,4.9,89.4,1.0,0.4,0.5,3.7,64748.0
Michigan,Missaukee,2025,36,1.0,3.4,90.4,0.3,0.2,0.4,5.0,66194.0
Michigan,Muskegon,2025,39,1.0,6.3,75.0,12.0,0.4,0.6,5.6,65024.0
Michigan,Oakland,2025,41,1.0,5.0,68.2,12.7,0.1,8.5,4.8,97760.0
Michigan,Ottawa,2025,40,1.0,10.3,81.7,1.5,0.1,2.7,3.2,90502.0
Michigan,Schoolcraft,2025,32,1.0,1.7,81.7,0.5,7.3,0.2,8.6,56782.0
Michigan,St. Clair,2025,39,1.0,3.7,89.7,2.1,0.1,0.5,3.6,71270.0
Michigan,Tuscola,2025,37,1.0,3.8,91.5,1.0,0.2,0.4,3.0,63811.0
Michigan,Washtenaw,2025,41,1.0,5.8,67.2,11.3,0.2,9.2,5.8,89180.0
Michigan,Wayne,2025,52,1.0,6.9,47.9,36.6,0.2,3.7,4.3,60539.0
Michigan,Wexford,2025,38,1.0,2.7,90.8,1.1,0.2,0.6,4.5,61085.0
Minnesota,Anoka,2025,38,0.9944444444444444,5.8,74.5,8.8,0.4,5.6,4.6,101869.0
Minnesota,Becker,2025,38,0.7277777777777777,2.0,84.9,0.7,4.7,0.5,6.7,71388.0
Minnesota,Beltrami,2025,37,0.9388888888888888,2.6,70.0,0.8,18.7,0.6,6.5,68975.0
Minnesota,Blue Earth,2025,38,0.9611111111111112,4.8,84.4,4.8,0.2,2.3,3.4,74477.0
Minnesota,Carlton,2025,35,0.9388888888888888,1.9,86.9,2.2,3.1,0.5,4.9,80573.0
Minnesota,Cass,2025,22,0.5,1.8,80.8,0.4,8.7,0.5,7.2,68874.0
Minnesota,Cook,2025,12,0.4777777777777778,3.1,83.6,1.3,6.1,0.6,4.8,72638.0
Minnesota,Crow Wing,2025,38,0.9944444444444444,1.6,93.2,0.5,0.7,0.4,3.1,72589.0
Minnesota,Dakota,2025,9,1.0,8.7,72.7,7.7,0.2,5.2,5.0,106318.0
Minnesota,Goodhue,2025,41,0.6722222222222223,4.1,89.1,1.5,0.8,0.7,3.1,84171.0
Minnesota,Hennepin,2025,39,1.0,7.8,65.2,13.3,0.4,7.0,5.5,97653.0
Minnesota,Lake,2025,34,0.9,1.5,94.3,0.2,0.4,0.5,3.0,75541.0
Minnesota,Lyon,2025,37,1.0,7.9,80.9,2.6,0.3,4.5,3.1,75303.0
Minnesota,Mille Lacs,2025,35,0.6611111111111111,2.3,88.0,0.4,4.2,0.9,3.6,72729.0
Minnesota,Olmsted,2025,36,0.8888888888888888,6.0,75.3,7.5,0.1,6.4,4.3,95406.0
Minnesota,Ramsey,2025,31,0.6722222222222223,8.4,57.9,12.1,0.3,15.0,5.7,81568.0
Minnesota,Scott,2025,36,0.9444444444444444,6.4,75.6,6.1,0.6,6.3,4.6,119314.0
Minnesota,Stearns,2025,36,0.9555555555555556,4.8,80.2,9.0,0.1,1.9,3.7,77066.0
Minnesota,Washington,2025,37,0.6722222222222223,5.3,77.2,5.5,0.2,7.7,3.7,115345.0
Minnesota,Winona,2025,19,0.0944444444444444,3.9,88.9,1.9,0.2,2.2,2.8,70744.0
Minnesota,Wright,2025,39,0.8722222222222222,3.6,88.0,2.3,0.2,1.8,3.7,107209.0
Mississippi,Bolivar,2025,44,1.0,2.7,31.0,63.2,0.0,1.0,1.8,39585.0
Mississippi,DeSoto,2025,44,1.0,5.8,56.4,32.6,0.1,1.3,3.3,85297.0
Mississippi,Forrest,2025,46,1.0,4.4,55.8,35.5,0.1,0.9,3.0,53640.0
Mississippi,Hancock,2025,44,1.0,4.2,83.4,7.1,0.3,1.0,3.3,67708.0
Mississippi,Harrison,2025,45,1.0,6.9,60.8,23.3,0.1,2.5,5.9,59479.0
Mississippi,Hinds,2025,52,1.0,2.1,22.9,71.7,0.2,0.8,2.0,49402.0
Mississippi,Jackson,2025,46,1.0,7.6,66.1,18.9,0.4,2.1,4.3,66201.0
Mississippi,Lauderdale,2025,35,1.0,2.5,50.3,40.8,0.3,0.7,4.6,50817.0
Mississippi,Lee,2025,38,1.0,3.5,62.5,29.9,0.0,1.0,2.4,67863.0
Mississippi,Yalobusha,2025,33,1.0,1.7,57.2,37.0,0.4,0.2,3.6,49151.0
Missouri,Andrew,2025,42,0.4944444444444444,2.6,92.4,1.3,0.0,0.8,2.7,75625.0
Missouri,Boone,2025,41,0.5111111111111111,4.5,75.8,9.5,0.1,4.8,4.8,72758.0
Missouri,Buchanan,2025,39,0.8222222222222222,7.6,79.7,5.6,0.2,1.1,5.3,62158.0
Missouri,Callaway,2025,42,0.5777777777777777,2.5,88.0,3.7,0.4,0.1,4.9,74176.0
Missouri,Cass,2025,41,0.8111111111111111,5.5,83.6,4.6,0.2,0.8,4.4,87535.0
Missouri,Cedar,2025,40,0.8222222222222222,2.2,92.1,0.5,0.2,0.0,4.0,48181.0
Missouri,Clay,2025,42,0.8111111111111111,8.0,77.0,6.8,0.2,2.6,4.8,88468.0
Missouri,Clinton,2025,43,0.5055555555555555,2.6,91.9,0.8,0.1,0.2,4.2,70627.0
Missouri,Greene,2025,44,0.8166666666666667,5.1,84.0,3.0,0.2,1.9,5.0,61479.0
Missouri,Jackson,2025,43,0.8388888888888889,11.4,59.3,22.0,0.1,1.8,4.6,68577.0
Missouri,Jasper,2025,42,0.8222222222222222,9.8,80.6,1.7,0.6,1.3,5.4,60694.0
Missouri,Jefferson,2025,40,0.8222222222222222,2.6,88.5,1.0,0.1,1.0,6.5,82851.0
Missouri,Lincoln,2025,42,0.5055555555555555,2.9,91.9,1.7,0.1,0.3,3.0,89278.0
Missouri,Monroe,2025,37,0.8222222222222222,1.8,91.6,3.5,0.4,0.4,1.8,54516.0
Missouri,Perry,2025,40,0.55,2.5,93.4,0.7,0.0,0.8,2.6,62981.0
Missouri,Stoddard,2025,21,0.0666666666666666,2.2,92.7,1.1,0.1,0.1,3.6,57957.0
Missouri,Taney,2025,26,0.0944444444444444,7.6,85.1,1.8,0.2,1.0,4.1,56497.0
Montana,Beaverhead,2025,12,0.9722222222222222,5.2,89.1,0.5,1.3,0.3,3.5,61268.0
Montana,Custer,2025,39,1.0,3.4,89.0,0.0,1.8,0.5,5.1,70605.0
Montana,Dawson,2025,14,1.0,3.6,90.4,0.2,1.3,0.2,3.4,71334.0
Montana,Fergus,2025,44,1.0,2.4,92.4,0.6,2.1,0.7,1.9,63706.0
Montana,Flathead,2025,40,1.0,3.7,90.0,0.2,0.8,0.8,4.0,73925.0
Montana,Gallatin,2025,14,1.0,5.4,87.5,0.4,0.5,1.2,4.0,93528.0
Montana,Glacier,2025,22,0.9277777777777778,2.9,29.5,0.2,63.4,0.6,3.0,46875.0
Montana,Hill,2025,13,0.8277777777777777,3.5,67.1,0.3,21.9,0.2,6.3,52798.0
Montana,Lake,2025,4,0.1111111111111111,4.3,64.6,0.2,19.6,0.7,10.2,63360.0
Montana,Lewis and Clark,2025,45,1.0,4.0,88.6,0.5,1.3,0.5,4.7,78237.0
Montana,Lincoln,2025,45,0.9777777777777776,3.1,90.0,0.1,1.1,0.2,5.3,47143.0
Montana,Missoula,2025,38,1.0,5.1,85.5,0.4,1.9,1.6,5.0,75598.0
Montana,Phillips,2025,18,0.95,1.1,81.0,0.2,7.5,0.8,8.7,53417.0
Montana,Powell,2025,6,0.0944444444444444,2.7,86.8,0.4,4.6,1.5,3.5,66923.0
Montana,Ravalli,2025,19,0.9666666666666668,4.1,88.6,0.3,0.7,0.7,4.8,71283.0
Montana,Richland,2025,39,1.0,5.5,87.5,0.3,0.2,0.4,5.3,73084.0
Montana,Roosevelt,2025,9,0.0944444444444444,2.9,32.4,0.1,55.6,1.0,8.0,57063.0
Montana,Rosebud,2025,4,0.1,3.7,51.4,0.1,36.8,2.0,4.8,49914.0
Montana,Sanders,2025,15,1.0,3.5,88.3,0.2,2.5,0.5,4.8,57476.0
Montana,Sheridan,2025,13,0.1055555555555555,4.0,88.2,0.0,1.9,0.7,4.9,70147.0
Montana,Silver Bow,2025,27,1.0,4.6,89.1,0.1,1.4,0.4,4.2,61754.0
Montana,Teton,2025,14,0.9611111111111112,2.0,91.5,0.3,1.9,0.0,4.1,70430.0
Montana,Yellowstone,2025,39,1.0,6.6,83.4,0.4,3.6,0.7,4.7,76570.0
Nebraska,Cass,2025,20,1.0,4.1,90.5,0.3,0.2,0.3,3.6,91836.0
Nebraska,Douglas,2025,44,1.0,14.5,65.8,10.2,0.2,4.4,4.5,80391.0
Nebraska,Gage,2025,36,1.0,3.4,92.5,0.5,0.3,0.7,2.5,67247.0
Nebraska,Hall,2025,37,1.0,32.4,60.5,3.3,0.2,1.0,2.3,69251.0
Nebraska,Knox,2025,39,1.0,2.9,84.5,0.7,8.8,0.4,2.5,64636.0
Nebraska,Lancaster,2025,36,0.5722222222222222,8.5,77.9,3.7,0.3,4.1,5.2,74793.0
Nebraska,Sarpy,2025,33,1.0,11.6,76.3,4.0,0.2,2.8,4.5,103321.0
Nebraska,Scotts Bluff,2025,24,1.0,23.9,70.7,0.6,1.0,0.7,2.5,63614.0
Nebraska,Thomas,2025,9,0.1055555555555555,5.0,89.2,2.0,0.0,0.0,3.9,65000.0
Nebraska,Washington,2025,29,1.0,3.3,92.9,0.3,0.2,0.2,3.0,94396.0
Nevada,Churchill,2025,43,0.9666666666666668,15.2,70.7,2.1,3.2,2.2,6.2,79163.0
Nevada,Clark,2025,64,1.0,31.9,38.3,11.5,0.3,10.5,6.1,76472.0
Nevada,Douglas,2025,22,0.9777777777777776,13.0,77.2,0.3,1.1,2.3,4.5,90754.0
Nevada,Elko,2025,19,0.8444444444444444,26.0,61.1,0.8,3.5,1.4,5.5,86487.0
Nevada,Lyon,2025,44,1.0,19.5,70.4,1.3,1.3,1.3,5.8,80812.0
Nevada,Nye,2025,24,1.0,17.1,68.9,2.9,0.9,1.9,7.8,60714.0
Nevada,Washoe,2025,51,1.0,26.1,58.5,2.3,0.7,5.6,5.5,88096.0
Nevada,White Pine,2025,47,1.0,16.5,71.5,5.9,3.6,0.3,1.9,72865.0
New Hampshire,Belknap,2025,34,1.0,2.3,92.7,0.5,0.0,1.2,2.8,92783.0
New Hampshire,Cheshire,2025,38,1.0,2.6,91.4,0.7,0.1,0.9,4.1,83329.0
New Hampshire,Coos,2025,40,1.0,2.4,91.9,2.0,0.1,0.1,2.9,57677.0
New Hampshire,Grafton,2025,38,1.0,2.9,87.5,1.1,0.1,3.5,4.4,88261.0
New Hampshire,Hillsborough,2025,38,1.0,8.5,80.1,2.2,0.1,4.3,4.3,103545.0
New Hampshire,Merrimack,2025,38,0.6777777777777778,2.7,90.1,1.6,0.1,1.5,3.6,97004.0
New Hampshire,Rockingham,2025,39,1.0,3.7,89.5,0.7,0.1,1.9,3.6,118331.0
New Jersey,Atlantic,2025,38,1.0,20.4,54.0,12.6,0.3,7.8,4.5,78050.0
New Jersey,Bergen,2025,40,1.0,22.7,51.3,5.4,0.1,16.8,2.9,124884.0
New Jersey,Camden,2025,44,1.0,19.2,52.5,17.8,0.0,5.9,3.8,88755.0
New Jersey,Cumberland,2025,42,0.9888888888888888,35.7,40.9,16.4,0.4,1.4,3.7,67436.0
New Jersey,Gloucester,2025,43,0.9666666666666668,8.3,74.3,10.2,0.0,3.1,3.6,105115.0
New Jersey,Hudson,2025,41,1.0,40.7,27.3,10.7,0.1,16.8,3.3,91795.0
New Jersey,Hunterdon,2025,41,0.9888888888888888,9.3,79.9,2.4,0.0,4.9,3.0,141715.0
New Jersey,Mercer,2025,43,1.0,23.1,42.7,17.9,0.1,12.3,3.4,100645.0
New Jersey,Middlesex,2025,36,0.9888888888888888,23.6,37.5,9.7,0.1,25.4,2.9,111549.0
New Jersey,Monmouth,2025,37,0.8055555555555556,12.9,71.5,5.8,0.0,5.4,3.6,124845.0
New Jersey,Morris,2025,38,1.0,16.0,65.8,3.0,0.0,10.7,3.7,137326.0
New Jersey,Ocean,2025,40,0.9944444444444444,10.9,81.1,2.9,0.0,1.9,2.7,89863.0
New Jersey,Passaic,2025,41,1.0,44.3,37.9,9.7,0.1,5.4,2.0,87522.0
New Jersey,Union,2025,45,1.0,35.2,35.4,19.1,0.1,5.6,3.4,103202.0
New Jersey,Warren,2025,38,0.9833333333333332,13.0,74.6,5.6,0.1,3.0,3.5,100869.0
New Mexico,Bernalillo,2025,59,1.0,49.1,37.1,2.6,4.0,2.8,3.7,69473.0
New Mexico,Catron,2025,8,0.1055555555555555,15.7,74.4,1.8,3.8,0.3,4.0,49864.0
New Mexico,Chaves,2025,16,0.1,58.4,36.1,1.5,0.6,1.1,1.5,52938.0
New Mexico,Eddy,2025,51,1.0,51.6,42.9,1.2,0.8,0.6,2.3,78426.0
New Mexico,Lea,2025,47,1.0,62.7,31.0,3.1,0.4,0.7,1.8,68015.0
New Mexico,Lincoln,2025,11,0.1055555555555555,33.0,60.2,0.8,3.2,0.5,2.2,53303.0
New Mexico,Los Alamos,2025,10,0.1111111111111111,18.0,69.8,0.9,0.6,4.9,5.3,147139.0
New Mexico,Luna,2025,19,1.0,67.1,28.3,1.1,0.4,1.1,1.3,36419.0
New Mexico,Rio Arriba,2025,45,1.0,67.2,14.0,0.6,15.5,0.6,1.5,57155.0
New Mexico,San Juan,2025,49,1.0,19.8,36.2,0.6,38.4,0.8,4.0,55872.0
New Mexico,Sandoval,2025,47,1.0,40.0,40.9,2.1,11.0,1.3,4.0,86636.0
New Mexico,Santa Fe,2025,46,1.0,47.9,44.0,0.8,2.4,1.4,2.9,79071.0
New Mexico,Socorro,2025,12,0.1111111111111111,50.3,32.8,0.4,10.6,1.8,3.9,36570.0
New Mexico,Taos,2025,14,1.0,50.6,40.5,0.3,5.3,0.7,2.3,58950.0
New Mexico,Valencia,2025,48,1.0,60.8,30.5,1.0,3.7,0.7,2.6,58933.0
New York,Albany,2025,39,1.0,7.3,68.0,11.5,0.0,7.5,5.0,85333.0
New York,Bronx,2025,47,1.0,55.1,8.7,28.7,0.3,4.0,2.2,48676.0
New York,Chautauqua,2025,39,1.0,9.6,83.7,2.1,0.1,0.7,3.4,58351.0
New York,Dutchess,2025,37,1.0,15.4,66.1,9.2,0.1,3.4,4.9,99478.0
New York,Erie,2025,44,1.0,6.4,72.3,12.1,0.3,4.9,3.5,72839.0
New York,Essex,2025,42,1.0,2.9,91.6,1.9,0.2,0.6,2.3,71661.0
New York,Hamilton,2025,36,1.0,2.1,91.5,1.5,0.0,0.3,4.1,68835.0
New York,Jefferson,2025,36,1.0,7.5,80.2,4.3,0.1,1.9,5.5,66301.0
New York,Kings,2025,44,1.0,19.0,36.1,26.6,0.1,12.1,5.0,80263.0
New York,Monroe,2025,41,1.0,9.9,67.7,13.5,0.1,3.8,4.5,76382.0
New York,Nassau,2025,31,0.0055555555555555,18.7,54.3,10.8,0.0,12.2,3.0,146202.0
New York,New York,2025,43,1.0,24.4,45.5,12.5,0.1,12.4,4.0,103931.0
New York,Niagara,2025,37,1.0,4.0,82.1,6.3,0.5,1.2,5.4,69633.0
New York,Oneida,2025,28,1.0,7.1,78.7,5.7,0.1,4.3,3.6,70154.0
New York,Onondaga,2025,39,1.0,5.9,73.8,10.2,0.3,4.1,5.2,76945.0
New York,Orange,2025,28,1.0,23.9,57.9,10.5,0.1,2.8,4.0,97178.0
New York,Oswego,2025,35,1.0,3.3,90.8,0.9,0.1,0.8,3.6,69183.0
New York,Putnam,2025,35,1.0,20.0,70.9,2.8,0.1,2.3,3.0,126257.0
New York,Queens,2025,44,1.0,28.1,23.2,16.3,0.3,25.9,3.8,86136.0
New York,Richmond,2025,41,1.0,19.6,55.5,8.8,0.1,12.7,2.7,98333.0
New York,Rockland,2025,39,1.0,20.6,59.7,10.2,0.1,5.9,2.4,109959.0
New York,Saratoga,2025,36,1.0,3.9,86.8,1.6,0.1,3.0,4.0,100787.0
New York,Steuben,2025,40,1.0,2.0,91.4,1.6,0.1,1.6,2.9,65887.0
New York,Suffolk,2025,41,1.0,22.8,62.0,6.9,0.1,4.4,3.0,130686.0
New York,Tompkins,2025,38,1.0,6.6,73.7,3.6,0.1,10.1,4.7,74024.0
New York,Wayne,2025,36,1.0,5.3,86.6,2.2,0.1,0.7,4.6,74506.0
New York,Westchester,2025,41,1.0,27.4,49.2,12.7,0.1,6.2,3.3,118976.0
North Carolina,Alexander,2025,39,1.0,5.6,85.5,5.0,0.1,1.0,2.8,65354.0
North Carolina,Avery,2025,38,1.0,6.1,85.7,3.8,0.1,0.4,3.3,61428.0
