State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct,Division_East North Central,Division_East South Central,Division_Middle Atlantic,Division_Mountain,Division_New England,Division_Pacific,Division_South Atlantic,Division_West North Central,Division_West South Central,interaction_income_Division_East North Central,interaction_density_Division_East North Central,interaction_income_Division_East South Central,interaction_density_Division_East South Central,interaction_income_Division_Middle Atlantic,interaction_density_Division_Middle Atlantic,interaction_income_Division_Mountain,interaction_density_Division_Mountain,interaction_income_Division_New England,interaction_density_Division_New England,interaction_income_Division_Pacific,interaction_density_Division_Pacific,interaction_income_Division_South Atlantic,interaction_density_Division_South Atlantic,interaction_income_Division_West North Central,interaction_density_Division_West North Central,interaction_income_Division_West South Central,interaction_density_Division_West South Central
Alabama,Tuscaloosa,2025,41,1.0,5.6,58.9,30.8,0.2,1.6,2.8,66231.0,237552,1320.848,179.84809758579337,South,East South Central,5.197657439049405,11.100919008818641,36.4,False,True,False,False,False,False,False,False,False,0.0,0.0,11.100919008818641,5.197657439049405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,Aleutians East,2025,11,0.1111111111111111,8.7,16.9,3.0,39.8,19.0,11.1,65365.0,3491,6986.254,0.4996955449944992,West,Pacific,0.4052621175032983,11.087757524586195,11.7,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.087757524586195,0.4052621175032983,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,Anchorage,2025,24,1.0,9.5,54.2,4.8,7.0,9.8,10.7,103284.0,288976,1707.004,169.28841408690317,West,Pacific,5.137493552981483,11.545247436432353,14.3,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.545247436432353,5.137493552981483,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,Denali,2025,38,1.0,8.1,71.8,2.7,2.9,2.2,10.0,80781.0,1969,12641.049,0.1557623896561116,West,Pacific,0.14476020384267924,11.299509447414529,10.8,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.299509447414529,0.14476020384267924,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,Fairbanks North Star,2025,42,1.0,8.5,66.8,3.9,5.8,2.8,10.6,88267.0,95460,7334.752,13.01475496376701,West,Pacific,2.6401107006085387,11.38813292000297,12.4,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38813292000297,2.6401107006085387,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,Kenai Peninsula,2025,8,0.1111111111111111,4.4,77.5,0.6,6.1,1.8,8.4,80538.0,60413,16017.53,3.771680152932443,West,Pacific,1.562698476199828,11.296496818137651,5.0,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.296496818137651,1.562698476199828,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,Matanuska-Susitna,2025,7,0.9777777777777776,5.4,75.7,1.1,5.4,1.6,9.8,94031.0,112988,24707.306,4.573060292368581,West,Pacific,1.7179443271846435,11.45139042885243,6.5,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45139042885243,1.7179443271846435,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,North Slope,2025,7,0.1055555555555555,5.4,31.0,1.2,48.7,5.4,6.2,95694.0,10810,88823.624,0.1217018571545786,West,Pacific,0.11484704732834458,11.468921329472174,6.6000000000000005,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.468921329472174,0.11484704732834458,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Apache,2025,14,1.0,6.4,18.8,1.0,71.0,0.7,2.0,41438.0,65341,11198.313,5.834896738464089,West,Mountain,1.9220413623023291,10.63197774536807,7.4,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,10.63197774536807,1.9220413623023291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,Cochise,2025,46,1.0,34.7,54.1,2.9,0.5,1.9,5.2,59742.0,125566,6209.863,20.220413880306214,West,Mountain,3.054963637251344,10.997807308118881,37.6,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,10.997807308118881,3.054963637251344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
